,대여소ID,시간대,날씨,평균기온(°C),Pm2.5,유동인구(명),대여건수,반납건수,요일,년,월,일,400m_지하철
대여소ID,1.0,0.012176128353318138,0.00792573586701643,0.02101442844447953,-0.0025668772432621313,-0.06211656097778399,-0.04736662673535269,-0.04931389720255227,0.0035811551063320477,0.06905888354753556,0.005725275571298727,0.0013492900455988532,0.09911785375642831
시간대,0.012176128353318138,1.0,-0.005902312071422916,-0.024654162418016753,0.01843026371216978,0.05608758057950892,0.18032609228774557,0.14546155511988174,-0.011549106387835918,0.0030404013120677188,0.008074074641177842,0.001185826964386971,0.006887875515258965
날씨,0.00792573586701643,-0.005902312071422916,1.0,0.153527244434335,-0.003248421808178443,0.006163952826758205,-0.0380392437039085,-0.03789029407305661,-0.05972931112112663,0.016644110108171007,-0.040332111345202086,0.015466539679230586,0.008650082280834038
평균기온(°C),0.02101442844447953,-0.024654162418016753,0.153527244434335,1.0,0.005008586402078321,-0.026899778773604284,0.1182165613596536,0.11644579836888143,0.03433179528816299,0.025885685531225333,-0.47707625712634544,0.009003514809819535,0.015577645037909852
Pm2.5,-0.0025668772432621313,0.01843026371216978,-0.003248421808178443,0.005008586402078321,1.0,0.008604787025793204,0.0037303758555254805,0.003147516365766717,-0.017103306425304488,-0.027470912525537277,-0.011745780410147842,-0.014843098091989635,-0.0042117626330382685
유동인구(명),-0.06211656097778399,0.05608758057950892,0.006163952826758205,-0.026899778773604284,0.008604787025793204,1.0,0.027162037643245707,0.019696122856812364,-0.13712522236656927,-0.01756617114192998,0.0020060083675967674,0.002031692639537827,0.037160193706738544
대여건수,-0.04736662673535269,0.18032609228774557,-0.0380392437039085,0.1182165613596536,0.0037303758555254805,0.027162037643245707,1.0,0.5879850875589846,-0.017203986116469925,0.035197150214252806,-0.10003250799952887,0.000677723879372524,0.0035099491265597918
반납건수,-0.04931389720255227,0.14546155511988174,-0.03789029407305661,0.11644579836888143,0.003147516365766717,0.019696122856812364,0.5879850875589846,1.0,-0.00876371745031049,0.03304756404093464,-0.09596437667199736,-5.146649083538953e-05,-0.009427927437873433
요일,0.0035811551063320477,-0.011549106387835918,-0.05972931112112663,0.03433179528816299,-0.017103306425304488,-0.13712522236656927,-0.017203986116469925,-0.00876371745031049,1.0,0.011260372271213771,0.011585955243271263,-0.013040766796458539,0.005592289016427261
년,0.06905888354753556,0.0030404013120677188,0.016644110108171007,0.025885685531225333,-0.027470912525537277,-0.01756617114192998,0.035197150214252806,0.03304756404093464,0.011260372271213771,1.0,-0.07090711910984647,-0.002325605009598877,
월,0.005725275571298727,0.008074074641177842,-0.040332111345202086,-0.47707625712634544,-0.011745780410147842,0.0020060083675967674,-0.10003250799952887,-0.09596437667199736,0.011585955243271263,-0.07090711910984647,1.0,-0.013373602104846486,0.019097624779167054
일,0.0013492900455988532,0.001185826964386971,0.015466539679230586,0.009003514809819535,-0.014843098091989635,0.002031692639537827,0.000677723879372524,-5.146649083538953e-05,-0.013040766796458539,-0.002325605009598877,-0.013373602104846486,1.0,0.0004893688509362558
400m_지하철,0.09911785375642831,0.006887875515258965,0.008650082280834038,0.015577645037909852,-0.0042117626330382685,0.037160193706738544,0.0035099491265597918,-0.009427927437873433,0.005592289016427261,,0.019097624779167054,0.0004893688509362558,1.0
